icd10,survivors,totaln,dsp,br,already_in,ais,added,borrowed,Version
T313,174,201,0.86567163,G,1,4,0,NA,v241119
T314,95,115,0.82608694,G,1,5,0,NA,v241119
T315,54,74,0.72972971,G,1,5,0,NA,v241119
T316,29,50,0.57999998,G,1,5,0,NA,v241119
T317,18,42,0.42857143,G,1,5,0,NA,v241119
T318,13,37,0.35135135,G,1,5,0,NA,v241119
T319,25,57,0.43859649,G,1,5,0,NA,v241119
T320,53,53,1,G,1,1,0,NA,v241119
T321,9,11,0.81818181,G,1,2,0,NA,v241119
T322,13,14,0.9285714,G,1,1,0,NA,v241119
T323,3,3,1,G,1,1,0,NA,v241119
T324,8,9,0.8888889,G,1,1,0,NA,v241119
T325,3,3,1,G,1,1,0,NA,v241119
T326,3,4,0.75,G,1,1,0,NA,v241119
T327,0,1,0,G,1,1,0,NA,v241119
T329,6,6,1,G,1,1,0,NA,v241119
